b_co,h_02,b_ci,h_i,r_i1,h_ci,b_i,Abi,case,error
168,168,28.8,34.8,0,28.8,34.8,4842.24,1,
168,168,28.8,34.8,0,28.8,34.8,4842.24,1,
168,168,28.8,34.8,0,28.8,34.8,4842.24,1,
0,102.59,37.14,40.14,0,37.14,40.14,229.8966,0,
0,105.09,36.54,40.14,0,36.54,40.14,222.5286,0,
0,107.47,36.54,40.14,0,36.54,40.14,222.5286,0,
0,108.49,36.54,40.14,0,36.54,40.14,222.5286,0,
0,132.83,60.23,65.17,0,60.23,65.17,604.6088167,0,
0,133.79,60.23,65.17,0,60.23,65.17,604.6088167,0,
0,158.3,69.49,75.29,0,69.49,75.29,804.8100167,0,
0,159.38,69.49,75.29,0,69.49,75.29,804.8100167,0,
0,86,32,60,0,32,60,170.6666667,0,
0,86,32,60,0,32,60,170.6666667,0,
0,86,32,60,0,32,60,170.6666667,0,
0,86,32,60,0,32,60,170.6666667,0,
0,86,32,60,0,32,60,170.6666667,0,
0,86,32,60,0,32,60,170.6666667,0,
0,86,32,60,0,32,60,170.6666667,0,
0,86,32,60,0,32,60,170.6666667,0,
0,86,32,60,0,32,60,170.6666667,0,
0,86,32,60,0,32,60,170.6666667,0,
0,189.76,0,136,68,0,136,0,0,
0,189.76,0,136,68,0,136,0,0,
0,189.76,0,83,41.5,0,83,0,0,
0,189.76,0,83,41.5,0,83,0,0,
0,189.76,0,136,68,0,136,0,0,
0,189.76,0,136,68,0,136,0,0,
189.76,189.76,0,136,68,0,136,6001.476267,0,
189.76,189.76,0,136,68,0,136,6001.476267,0,
189.76,189.76,0,83,41.5,0,83,6001.476267,0,
189.76,189.76,0,83,41.5,0,83,6001.476267,0,
189.76,189.76,0,136,68,0,136,6001.476267,0,
189.76,189.76,0,136,68,0,136,6001.476267,0,
0,342.36,0,231,115.5,0,231,0,0,
0,342.36,0,231,115.5,0,231,0,0,
0,321.36,0,210,105,0,210,0,0,
0,321.36,0,210,105,0,210,0,0,
0,300.36,0,189,94.5,0,189,0,0,
0,300.36,0,189,94.5,0,189,0,0,
0,274.36,0,180,90,0,180,0,0,
0,274.36,0,180,90,0,180,0,0,
0,227.36,0,150,75,0,150,0,0,
0,227.36,0,150,75,0,150,0,0,
0,278,0,140,70,0,140,0,0,
0,278,0,170,85,0,170,0,0,
0,228,0,140,70,0,140,0,0,
0,248,0,110,55,0,110,0,0,
0,278,0,140,70,0,140,0,0,
0,278,0,170,85,0,170,0,0,
0,228,0,140,70,0,140,0,0,
0,248,0,110,55,0,110,0,0,
0,331.76,0,278,139,0,278,0,0,
0,275.76,0,222,111,0,222,0,0,
0,275.76,0,222,111,0,222,0,0,
0,274.06,0,192,96,0,192,0,0,
0,270.06,0,192,96,0,192,0,0,
0,174.44,0,135,67.5,0,135,0,0,
0,174.44,0,135,67.5,0,135,0,0,
0,174.44,0,135,67.5,0,135,0,0,
0,174.44,0,135,67.5,0,135,0,0,
0,169.44,0,130,65,0,130,0,0,
0,169.44,0,130,65,0,130,0,0,
0,169.44,0,130,65,0,130,0,0,
0,169.44,0,130,65,0,130,0,0,
0,164.44,0,125,62.5,0,125,0,0,
0,164.44,0,125,62.5,0,125,0,0,
0,164.44,0,125,62.5,0,125,0,0,
0,164.44,0,125,62.5,0,125,0,0,
0,334,0,274,137,0,274,0,0,
0,294,0,234,117,0,234,0,0,
0,334,0,254,127,0,254,0,0,
0,334,0,234,117,0,234,0,0,
0,333,0,274,137,0,274,0,0,
0,335,0,274,137,0,274,0,0,
0,392,0,332,166,0,332,0,0,
0,154.44,0,105,52.5,0,105,0,0,
0,154.44,0,105,52.5,0,105,0,0,
0,154.44,0,121,60.5,0,121,0,0,
0,154.44,0,121,60.5,0,121,0,0,
0,163.44,0,111,55.5,0,111,0,0,
0,163.44,0,111,55.5,0,111,0,0,
0,163.44,0,128,64,0,128,0,0,
0,163.44,0,128,64,0,128,0,0,
0,173.44,0,118,59,0,118,0,0,
0,173.44,0,118,59,0,118,0,0,
0,173.44,0,136,68,0,136,0,0,
0,173.44,0,136,68,0,136,0,0,
0,268.84,0,81,40.5,0,81,0,0,
0,268.84,0,162,81,0,162,0,0,
0,268.84,0,162,81,0,162,0,0,
0,268.84,0,243,121.5,0,243,0,0,
0,268.84,0,243,121.5,0,243,0,0,
0,268.84,0,243,121.5,0,243,0,0,
0,268.84,0,243,121.5,0,243,0,0,
0,291.84,0,104,52,0,104,0,0,
0,291.84,0,185,92.5,0,185,0,0,
0,291.84,0,266,133,0,266,0,0,
0,291.84,0,266,133,0,266,0,0,
0,342.36,0,231,115.5,0,231,0,0,
0,321.36,0,210,105,0,210,0,0,
0,300.36,0,189,94.5,0,189,0,0,
0,274.36,0,180,90,0,180,0,0,
0,163.44,0,122,61,0,122,0,0,
0,163.44,0,139,69.5,0,139,0,0,
0,172.44,0,129,64.5,0,129,0,0,
0,172.44,0,147,73.5,0,147,0,0,
0,428.42,0,344,172,0,344,0,0,
0,428.42,0,344,172,0,344,0,0,
0,426.36,0,344,172,0,344,0,0,
0,426.36,0,344,172,0,344,0,0,
0,422.4,0,344,172,0,344,0,0,
0,422.4,0,294,147,0,294,0,0,
0,422.4,0,294,147,0,294,0,0,
0,422.4,0,294,147,0,294,0,0,
0,348.84,0,283,141.5,0,283,0,0,
0,348.84,0,283,141.5,0,283,0,0,
